,Lat,Lon
70,43.30883083,-2.005508297
71,43.31067593,-1.986819792
72,43.31444973,-1.977809306
73,43.30395905,-2.01829245
74,43.32408825,-1.986130757
75,43.31590748,-1.966673673
76,43.31385204,-1.982096494
77,43.31886553,-1.95624525
78,43.32646735,-1.967812398
79,43.30540893,-1.982150918
80,43.3033752,-2.016091416
81,43.30321746,-1.989512237
82,43.32087133,-1.980138283
83,43.29743495,-1.9552798
84,43.31593996,-1.969560682
85,43.30091613,-1.988008798
86,43.32354851,-1.975004306
87,43.31185955,-2.0001757
88,43.30160614,-1.985937246
89,43.31092947,-1.967830506
90,43.3186376,-1.971924546
91,43.30054819,-1.993981364
92,43.311818,-1.983776728
93,43.31023187,-1.990297061
94,43.31378142,-1.990901284
95,43.31579597,-2.004647574
96,43.31462003,-1.982678498
97,43.31922639,-1.951926091
98,43.30199459,-1.998516688
99,43.32093165,-1.97139175
100,43.32173645,-1.977644199
101,43.30011989,-2.005797191
102,43.3082203,-1.9668905
103,43.30496973,-1.985091061
104,43.30094671,-1.988832217
105,43.3245732,-1.976188341
106,43.32458061,-1.984868511
107,43.30854297,-2.00473745
108,43.32158335,-1.97182085
109,43.30675226,-2.01429097
110,43.30455084,-1.988180724
111,43.32058874,-1.974843711
112,43.31272376,-1.989229803
113,43.3150554,-1.976669174
114,43.31374653,-1.985146966
115,43.31313329,-1.977985679
116,43.32415836,-1.985042884
118,43.3169126,-1.984353862
119,43.30476675,-2.018437299
120,43.3012279,-2.001854676
121,43.31709156,-1.979606744
122,43.3255179,-1.9657825
123,43.31754758,-1.95796171
124,43.31081028,-1.988073985
125,43.31318054,-1.972799891
126,43.31788018,-1.969350228
127,43.31510338,-1.983419668
128,43.31732503,-1.954654748
129,43.31626703,-1.97331429
130,43.32263382,-1.97251802
131,43.30862637,-1.971282871
132,43.31880435,-1.975408969
133,43.32439906,-1.983374631
134,43.31346036,-1.982962923
135,43.30345616,-1.959094499
136,43.32164558,-1.983572282
137,43.31133628,-1.967694812
138,43.30644525,-1.9812079
139,43.31066058,-2.014632702
140,43.3068927,-1.9626949
141,43.31041757,-1.965462113
142,43.318277,-1.9715521
143,43.32029749,-1.964181145
144,43.30245755,-1.991936896
145,43.30333716,-1.976360116
146,43.30614245,-1.982049967
147,43.31060857,-1.954356542
148,43.32264684,-1.986430252
149,43.31113097,-1.96784113
150,43.32479339,-1.968687383
151,43.31792268,-1.979500476
152,43.31794337,-1.968235995
153,43.30665377,-1.962391283
154,43.31032054,-1.975943555
155,43.30880387,-1.984455976
156,43.31035473,-1.972243242
157,43.31390464,-1.981204757
158,43.32043375,-1.97128805
159,43.308499,-1.985537577
160,43.30942519,-1.979432859
161,43.30461647,-1.979365656
162,43.30916447,-1.972140124
163,43.30006245,-1.976491574
164,43.3091979,-1.996152
165,43.31776672,-1.972002535
166,43.30565283,-1.994192644
167,43.30316919,-1.98516118
168,43.30806019,-1.980057822
169,43.30356346,-1.979151596
170,43.32276466,-1.98689981
171,43.31155564,-2.01515063
172,43.29527835,-1.955693912
173,43.30977476,-1.972902244
174,43.3162381,-1.986073334
175,43.30477615,-2.004188127
176,43.3269856,-1.9676006
177,43.32458061,-1.984868511
178,43.30848451,-1.979114649
179,43.30446404,-1.980805578
180,43.32034529,-1.981639561
181,43.30331913,-1.992344466
182,43.31035182,-1.976135617
183,43.32134749,-1.964433599
184,43.293199,-1.95253119
185,43.303593,-1.995994766
186,43.31441934,-1.980710846
187,43.30053798,-2.004391194
188,43.31175877,-2.006120354
189,43.30229718,-1.95426161
190,43.30305473,-1.979058447
191,43.3049535,-1.9934094
192,43.31096729,-1.972983434
193,43.3128539,-1.980543537
194,43.32281931,-1.984612491
195,43.3045315,-1.973583493
196,43.30903815,-1.9814974
197,43.3179245,-1.973744441
198,43.31096033,-1.976644433
199,43.31548715,-1.96885
200,43.32472702,-1.975108031
201,43.29814833,-1.955968797
202,43.316064,-1.969044085
203,43.31722274,-1.983527686
204,43.32016516,-1.968691712
205,43.32357857,-1.978115794
206,43.301995,-2.016867253
207,43.32005855,-1.969154
208,43.31609774,-1.982742346
209,43.30552915,-1.981005139
210,43.30791236,-2.000889521
211,43.32900154,-1.970911994
212,43.32148685,-1.981273334
213,43.32453571,-1.978212181
214,43.31919367,-1.981810159
215,43.3155051,-2.00661325
216,43.31012726,-1.975266385
217,43.3177487,-1.974508817
218,43.31926005,-1.970606819
219,43.32403267,-1.973044277
220,43.31104942,-1.983840409
221,43.3011397,-2.00644225
222,43.30888543,-1.966481459
223,43.32138105,-1.967477868
224,43.31803632,-1.974482791
225,43.30078741,-2.0021856
226,43.32503624,-1.988933809
227,43.3033752,-2.016091416
228,43.29812621,-2.000432913
229,43.31900246,-1.9712603
230,43.30053798,-2.004391194
231,43.30245755,-1.991936896
232,43.30478335,-1.982472146
233,43.30979775,-1.972195181
234,43.32135462,-1.984353005
235,43.3225724,-1.976662644
