,ID_viaje,Estado cerrado,Duracion,Id de estacion de inicio,Fecha de inicio,Nombre de estacion de inicio,Fecha de fin,Id de estacion de fin de viaje,Nombre de estacion de fin de viaje,ID de ciclista,Msnbc de bicicleta,Moto identificador publico,Modelo de bicicleta,Nombre de producto,start_lat,start_lon,target_lat,target_lon,starttime,withinC,withinCend
237473,1164608,NORMAL,472,15,2022-09-19 07:10:00,15 - SEGUNDO IZPIZUA,19/09/2022 7:18,9.0,09 - EASO,1360,P32394,732.0,EFIT,Ordinario,43.32394484791497,-1.9699386277507438,43.31328896200965,-1.9817650765547319,2022-09-19 07:10:00,True,True
237475,1164606,NORMAL,1125,45,2022-09-19 07:10:00,45 - XABIER LIZARDI,19/09/2022 7:29,12.0,12 - S.FRANTZISKO-GALTZADA NAGUSIA / GRAN VÍA,188,P35474,855.0,EFIT,Ordinario,43.301489470754845,-2.0046293584460266,43.32416306635694,-1.9733621599308762,2022-09-19 07:10:00,True,True
237474,1164607,NORMAL,359,21,2022-09-19 07:10:00,21 - KARMENGO ANDRE MARIA / VIRGEN DEL CARMEN,19/09/2022 7:16,2.0,02 - BRETXA,12839,P15803,81.0,FIT,Ordinario,43.3169507884904,-1.9714513488864929,43.322867283695366,-1.982435071211216,2022-09-19 07:10:00,True,True
237471,1164610,NORMAL,268,12,2022-09-19 07:12:00,12 - S.FRANTZISKO-GALTZADA NAGUSIA / GRAN VÍA,19/09/2022 7:16,19.0,19 - FRANTZIA PASEALEKUA,3909,P32331,705.0,EFIT,Ordinario Grupal FN o FNE -5,43.32416306635694,-1.9733621599308762,43.31785597968304,-1.9773212084271625,2022-09-19 07:12:00,True,True
237469,1164612,NORMAL,734,43,2022-09-19 07:14:00,43 - TOLOSA HIRIBIDEA-PSIKOLOGIA,19/09/2022 7:26,47.0,01 - UDALETXEA / AYUNTAMIENTO,5516,P32348,775.0,EFIT,Dbizi Ordinario,43.30687232308195,-2.008501247136781,43.32145412113152,-1.9864178021210355,2022-09-19 07:14:00,True,True
237468,1164613,NORMAL,1312,5,2022-09-19 07:14:00,05 - SAN MARTZIAL,19/09/2022 7:36,46.0,46 - TOLOSA HIRIBIDEA-AMERIKA,21750,P15744,69.0,FIT,Dbizi Ordinario,43.319248480374604,-1.980685847037382,43.302007179191335,-2.003167624367996,2022-09-19 07:14:00,True,True
237464,1164617,NORMAL,548,37,2022-09-19 07:16:00,37 - ANDOAIN,19/09/2022 7:25,24.0,24 - MORLANS,11723,P32408,708.0,EFIT,Dbizi Ordinario,43.298994502059585,-1.9916941032626039,43.308489387451,-1.9830022646209984,2022-09-19 07:16:00,True,True
237463,1164618,NORMAL,400,18,2022-09-19 07:16:00,18 - TERESA DE CALCUTA,19/09/2022 7:23,7.0,07 - MARQUÉS MIRAFLORES,17277,P32385,761.0,EFIT,Dbizi Ordinario,43.320289499766545,-1.9755618544813616,43.31704533570667,-1.9860015608223442,2022-09-19 07:16:00,True,True
237461,1164621,NORMAL,573,2,2022-09-19 07:18:00,02 - BRETXA,19/09/2022 7:27,9.0,09 - EASO,4184,P15803,81.0,FIT,Dbizi Ocasional,43.322867283695366,-1.982435071211216,43.31328896200965,-1.9817650765547319,2022-09-19 07:18:00,True,True
237460,1164622,NORMAL,1376,21,2022-09-19 07:18:00,21 - KARMENGO ANDRE MARIA / VIRGEN DEL CARMEN,19/09/2022 7:41,45.0,45 - XABIER LIZARDI,12583,P15941,63.0,FIT,Ordinario,43.3169507884904,-1.9714513488864929,43.301489470754845,-2.0046293584460266,2022-09-19 07:18:00,True,True
237459,1164623,NORMAL,202,20,2022-09-19 07:20:00,20 - TABAKALERA,19/09/2022 7:23,3.0,03 - SANTA KATALINA PLAZATXOA,117,P15935,223.0,FIT,Ordinario,43.317037588702135,-1.9750530324926516,43.32128359680711,-1.980046729664166,2022-09-19 07:20:00,True,True
