ID,ESTACIÓN,NumPlazas,Descuento,NomCalle,Portal,X_etrs89,Y_etrs89,X,Y
65,Pagola-Lugaritz,19,SI,BERABERA PAS.,57,581216.29,4794887,-222489.94777286582,5358118.947432364
67,Buenavista,19,SI,BUENAVISTA HIRIB.,12,586919.2,4796765.06,-213954.63233909933,5360970.06845707
68,Escolta Real,18,NO,ESCOLTA REAL,28,581013.47,4795996.17,-222750.06214043323,5359649.938514174
70,Pio Baroja,15,SI,"PIO BAROJA, PAS.",20,581470.09,4795819.13,-222126.27883467614,5359398.54989514
71,Sert,0,NO,"SERT, PL", ,580599.88,4795793.79,-223321.03169836578,5359377.981064401
72,Ametzagaña,14,SI,AMETZAGAÑA,47,583687.11,4796627.78,-219069.77717088966,5360475.173853042
73,Ferrerias,15,NO,"FERRERIAS, PL",7,583077.6,4794957.83,-219934.52365470523,5358185.40622141
74,Zuhaizti,19,NO,"ZUHAIZTI, PL", ,583139.22,4796994.63,-219815.64574289153,5360989.82092946
75,Moraza,19,NO,MORAZA,1,,,,
76,Zabaleta,19,NO,ZABALETA,35,583151.89,4797347.52,-219792.29852760764,5361475.768981338
78,Txapillo,19,SI,TXAPILLO,2,582330.41,4794648.36,-220965.04172639473,5357771.783306707
