ID,ESTACIÓN,NumPlazas,Descuento,NomCalle,Portal,X_etrs89,Y_etrs89,X,Y,Latitude,Longitude
16,Atarizar,15,NO,ATARIZAR,26,584340.11,4797017.49,-218166.80094021463,5361000.8587944,43.32126928470289,-1.9598257177205598
17,Sagastieder,20,NO,"GALICIA,PS DE",5,584622.1,4796129.4,-217794.9476702952,5359772.67225158,43.31324205622432,-1.9564853029623754
18,Teresa de Calcuta,15,NO,"TERESA DE CALCUTA,PZ", ,583065.51,4796892.91,-219918.5396714804,5360850.9404927725,43.320289499766545,-1.9755618544813616
19,Paseo de Francia,25,NO,"FRANCIA,PS DE",22,582926.16,4796620.9,-220114.3900568521,5360478.594545382,43.31785597968303,-1.9773212084271625
20,Tabakalera,19,NO,ANDRE ZIGARROGILEAK,1,583111.2,4796532.27,-219861.8978667928,5360353.378233017,43.317037588702135,-1.9750530324926516
21,Virgen del Carmen,20,SI,VIRGEN DEL CARMEN,15,583403.38,4796526.22,-219460.9602817567,5360340.097635206,43.31695078849041,-1.9714513488864929
22,Sancho el Sabio,15,NO,"SANCHO EL SABIO,AV",2,582683.16,4795867.07,-220460.57699628815,5359444.319869238,43.31109581854418,-1.980431058615742
24,Morlans,15,NO,"MORLANS,PS DE",1,582478.17,4795575.06,-220746.80233951783,5359045.578198856,43.308489387451,-1.983002264620998
25,Arquitectos Cortazar,15,NO,ARQUITECTOS CORTAZAR,3,582816.11,4795528.03,-220283.79921786545,5358975.123903128,43.308028841403846,-1.978843036813244
26,Javier Barkaiztegi,19,NO,JAVIER BARKAIZTEGI,5,582677.76,4795290.8,-220477.64305660917,5358650.71800734,43.30590821804648,-1.9805843656440028
27,Podavines,19,NO,PODAVINES,6,582736.66,4794935.97,-220402.75817061905,5358161.053061652,43.302707165328805,-1.9799116632676583
28,Isabel II,20,NO,"ISABEL II,AV DE",15,583050.92,4795132.52,-219968.2021890001,5358426.445946715,43.30444212076648,-1.9760079804667197
29,Corsarios Vascos,19,NO,CORSARIOS VASCOS, ,583295.63,4795320.28,-219629.2113357187,5358680.886467088,43.306105430715554,-1.9729627738199254
30,Humboldt,20,NO,HUMBOLDT,4,583424.32,4795761.19,-219445.14650930752,5359285.969748884,43.31006075405811,-1.971309291351586
31,Barcelona,15,NO,"BARCELONA,AV DE",41,583353.64,4795978.48,-219538.4739121657,5359586.463567723,43.31202493382681,-1.9721476656757329
32,Urbia,19,NO,URBIA, ,583736.22,4795850.32,-219015.57052872845,5359403.434242967,43.31082856903189,-1.9674503446611376
33,Aintzieta,19,SI,"AINTZIETA,PS DE",17,584175.41,4795145.05,-218424.8282730312,5358424.584792593,43.30442995399829,-1.9621436166884567
34,Tranvía,19,SI,TRANBIA,17,584835.6,4794231.04,-217534.5392631452,5357154.54178322,43.29612683958227,-1.9541460144398148
35,Munto,15,SI,MUNTO,76,581640.03,4795390.91,-221900.11535306185,5358805.92983503,43.306922838390456,-1.9933626516954035
36,Alto de Errondo,16,SI,ALTO DE ERRONDO,113,582068.58,4794703.15,-221323.42198042176,5357851.609234036,43.30068417272159,-1.988182126986473
37,Andoain,23,SI,ANDOAIN,44,581785.99,4794512.06,-221714.37339115868,5357593.1593556665,43.298994502059585,-1.9916941032626039
38,Infanta Cristina,15,NO,INFANTA CRISTINA,17,580742.38,4796215.8,-223118.54268335545,5359956.930223285,43.31444640411938,-2.00430797062932
39,Zarautz,15,NO,ZARAUTZ,1,580619.99,4795988.7,-223290.2447719685,5359646.118772303,43.31241486290128,-2.0058503967344836
40,Avenida Tolosa-Escuela de Magisterio,19,NO,"TOLOSA,AV DE",14,580379.86,4795908.16,-223621.13438338813,5359539.109126947,43.31171540543529,-2.0088228286874297
41,Avenida Tolosa-Carlos Santamaria,25,NO,"EUROPA,PZ DE",3,580234.57,4795612.86,-223825.34804832103,5359134.746072952,43.30907225552243,-2.0106573112517827
42,Berio,15,SI,"BERIO,PS DE",42,587408.47,4797034.06,-224532.23710304732,5358532.221533133,43.30513359471628,-2.017007403672157
43,Avenida Tolosa-Psicología,17,NO,"TOLOSA,AV DE",70,580412.33,4795370.62,-223585.33608892135,5358798.202180461,43.306872323081954,-2.0085012471367807
44,Bernardo Estornes L.,17,NO,BERNARDO ESTORNES L., ,580483.55,4794968.91,-223494.14503041632,5358243.786726357,43.30324802621557,-2.0076820639204795
45,Xabier Lizardi,15,NO,XABIER LIZARDI,13,580733.47,4794776.56,-223154.3194114584,5357974.789125733,43.301489470754845,-2.0046293584460266
46,Avenida Tolosa-América,15,NO,"AMERICA,PZ DE", ,580851.34,4794835.47,-222991.5999182168,5358053.979637024,43.302007179191335,-2.003167624367996
47,Ayuntamiento,24,NO,IJENTEA,2,582288.91,4797043.88,-221127.01823480733,5361029.141153127,43.32145412113152,-1.9864178021210355
52,Plaza Gabriel Celaya,15,NO,"GABRIEL CELAYA,PZ DE", ,584859.57,4796508.67,-217462.5034117107,5360291.006130451,43.31662993190242,-1.953498905376333
53,Herrera,19,SI,"ALCALDE J.ELOSEGI,AV",128,586072.84,4796872.74,-215790.84360171348,5360771.416607251,43.31976976824759,-1.9384821298046446
56,Larratxo,15,SI,LARRATXO PAS.,24,586019.26,4796136.5,-215877.21765430825,5359758.205107941,43.31314749499568,-1.9392580411206166
57,Polideportivo Altza,15,SI,CASARES PAS.,153,586919.2,4796765.06,-214630.98700525516,5360608.193077239,43.318703000443506,-1.9280629607247908
58,Harrobieta plazatxoa,18,SI,HARROBIETA PL.,0,586451.14,4796650.93,-215275.45482760624,5360459.223088045,43.31772937209151,-1.9338523136742032
59,Julio Urkixo,19,SI,JULIO URKIXO PAS.,44,585697.35,4797304.68,-216298.74485113224,5361373.017309836,43.32370144318299,-1.9430446843564075
60,Añorga Txiki,19,SI,"AÑORGA, AV", ,581293.64,4793423.51,-222407.8855281714,5356102.391409523,43.28924737521659,-1.997924028786613
61,Txaparrene,19,SI,TXAPARRENE PAS.,26,584992.08,4796902.84,-217273.83016038215,5360831.693562143,43.32016371109316,-1.9518040247226032
62,Berio,19,SI,"BERIO,PS DE",26,579760.34,4795343.12,-224480.55482771015,5358770.950796199,43.3066941817507,-2.0165431338936224
63,Bera Bera,15,SI,ZUHAIXKEN PAS.,2,581622.13,4794840.74,-221933.78000499,5358048.521699367,43.30197149803303,-1.9936650664090194
64,San Martzial plaza,14,SI,SAN MARTZIAL PL., ,586390.25,4796268.3,-215365.7286562213,5359933.247316649,43.31429160912087,-1.9346632572742117
65,Pagola-Lugaritz,19,SI,BERABERA PAS.,57,581216.29,4794887.0,-222489.94777286585,5358118.947432364,43.302431903246145,-1.9986612064731946
67,Buenavista,19,SI,BUENAVISTA HIRIB.,12,586919.2,4796765.06,-213954.6323390993,5360970.06845707,43.32106805700032,-1.9219871633838572
68,Escolta Real,18,NO,ESCOLTA REAL,28,581013.47,4795996.17,-222750.06214043323,5359649.938514174,43.312439830099684,-2.0009978535932436
70,Pio Baroja,15,SI,"PIO BAROJA, PAS.",20,581470.09,4795819.13,-222126.2788346761,5359398.54989514,43.310796642340144,-1.995394312817841
71,Sert,0,NO,"SERT, PL", ,580599.88,4795793.79,-223321.03169836575,5359377.981064401,43.3106621933531,-2.0061269603998206
72,Ametzagaña,14,SI,AMETZAGAÑA,47,583687.11,4796627.78,-219069.7771708897,5360475.173853042,43.31783362280821,-1.96793729121268
73,Ferrerias,15,NO,"FERRERIAS, PL",7,583077.6,4794957.83,-219934.52365470523,5358185.40622141,43.302866371535536,-1.9757054410456816
74,Zuhaizti,19,NO,"ZUHAIZTI, PL", ,583139.22,4796994.63,-219815.64574289156,5360989.82092946,43.321197147726295,-1.9746375425944167
75,Moraza,19,NO,MORAZA,1,,,,,,
76,Zabaleta,19,NO,ZABALETA,35,583151.89,4797347.52,-219792.29852760764,5361475.768981338,43.324372936526075,-1.9744278109911053
78,Txapillo,19,SI,TXAPILLO,2,582330.41,4794648.36,-220965.04172639476,5357771.783306707,43.30016229887499,-1.9849627423892822
